district,year,owner,aca_dyw
Kreis 1,2021,cooperative housing,1.9323
Kreis 1,2021,private housing,1.3516
Kreis 1,2022,cooperative housing,1.9366
Kreis 1,2022,private housing,1.3518
Kreis 1,2023,cooperative housing,1.9409
Kreis 1,2023,private housing,1.3521
Kreis 1,2024,cooperative housing,1.9452
Kreis 1,2024,private housing,1.3523
Kreis 1,2025,cooperative housing,1.9495
Kreis 1,2025,private housing,1.3526
Kreis 1,2026,cooperative housing,1.9538
Kreis 1,2026,private housing,1.3528
Kreis 1,2027,cooperative housing,1.9581
Kreis 1,2027,private housing,1.3531
Kreis 1,2028,cooperative housing,1.9624
Kreis 1,2028,private housing,1.3533
Kreis 1,2029,cooperative housing,1.9667
Kreis 1,2029,private housing,1.3536
Kreis 1,2030,cooperative housing,1.971
Kreis 1,2030,private housing,1.3538
Kreis 1,2031,cooperative housing,1.9753
Kreis 1,2031,private housing,1.3541
Kreis 1,2032,cooperative housing,1.9796
Kreis 1,2032,private housing,1.3543
Kreis 1,2033,cooperative housing,1.9839
Kreis 1,2033,private housing,1.3546
Kreis 1,2034,cooperative housing,1.9882
Kreis 1,2034,private housing,1.3548
Kreis 1,2035,cooperative housing,1.9925
Kreis 1,2035,private housing,1.3551
Kreis 1,2036,cooperative housing,1.9968
Kreis 1,2036,private housing,1.3553
Kreis 1,2037,cooperative housing,2.0011
Kreis 1,2037,private housing,1.3556
Kreis 1,2038,cooperative housing,2.0054
Kreis 1,2038,private housing,1.3558
Kreis 1,2039,cooperative housing,2.0097
Kreis 1,2039,private housing,1.3561
Kreis 1,2040,cooperative housing,2.014
Kreis 1,2040,private housing,1.3563
Kreis 1,2041,cooperative housing,2.0182
Kreis 1,2041,private housing,1.3566
Kreis 1,2042,cooperative housing,2.0225
Kreis 1,2042,private housing,1.3568
Kreis 1,2043,cooperative housing,2.0268
Kreis 1,2043,private housing,1.3571
Kreis 1,2044,cooperative housing,2.0311
Kreis 1,2044,private housing,1.3573
Kreis 1,2045,cooperative housing,2.0354
Kreis 1,2045,private housing,1.3576
Kreis 1,2046,cooperative housing,2.0397
Kreis 1,2046,private housing,1.3578
Kreis 1,2047,cooperative housing,2.044
Kreis 1,2047,private housing,1.3581
Kreis 1,2048,cooperative housing,2.0483
Kreis 1,2048,private housing,1.3583
Kreis 1,2049,cooperative housing,2.0526
Kreis 1,2049,private housing,1.3586
Kreis 1,2050,cooperative housing,2.0569
Kreis 1,2050,private housing,1.3588
Wollishofen,2021,cooperative housing,2.2175
Wollishofen,2021,private housing,1.7491
Wollishofen,2022,cooperative housing,2.2231
Wollishofen,2022,private housing,1.7524
Wollishofen,2023,cooperative housing,2.2288
Wollishofen,2023,private housing,1.7556
Wollishofen,2024,cooperative housing,2.2345
Wollishofen,2024,private housing,1.7589
Wollishofen,2025,cooperative housing,2.2402
Wollishofen,2025,private housing,1.7621
Wollishofen,2026,cooperative housing,2.2458
Wollishofen,2026,private housing,1.7653
Wollishofen,2027,cooperative housing,2.2515
Wollishofen,2027,private housing,1.7686
Wollishofen,2028,cooperative housing,2.2572
Wollishofen,2028,private housing,1.7718
Wollishofen,2029,cooperative housing,2.2629
Wollishofen,2029,private housing,1.7751
Wollishofen,2030,cooperative housing,2.2685
Wollishofen,2030,private housing,1.7783
Wollishofen,2031,cooperative housing,2.2742
Wollishofen,2031,private housing,1.7815
Wollishofen,2032,cooperative housing,2.2799
Wollishofen,2032,private housing,1.7848
Wollishofen,2033,cooperative housing,2.2856
Wollishofen,2033,private housing,1.788
Wollishofen,2034,cooperative housing,2.2913
Wollishofen,2034,private housing,1.7913
Wollishofen,2035,cooperative housing,2.2969
Wollishofen,2035,private housing,1.7945
Wollishofen,2036,cooperative housing,2.3026
Wollishofen,2036,private housing,1.7977
Wollishofen,2037,cooperative housing,2.3083
Wollishofen,2037,private housing,1.801
Wollishofen,2038,cooperative housing,2.314
Wollishofen,2038,private housing,1.8042
Wollishofen,2039,cooperative housing,2.3196
Wollishofen,2039,private housing,1.8075
Wollishofen,2040,cooperative housing,2.3253
Wollishofen,2040,private housing,1.8107
Wollishofen,2041,cooperative housing,2.331
Wollishofen,2041,private housing,1.814
Wollishofen,2042,cooperative housing,2.3367
Wollishofen,2042,private housing,1.8172
Wollishofen,2043,cooperative housing,2.3424
Wollishofen,2043,private housing,1.8204
Wollishofen,2044,cooperative housing,2.348
Wollishofen,2044,private housing,1.8237
Wollishofen,2045,cooperative housing,2.3537
Wollishofen,2045,private housing,1.8269
Wollishofen,2046,cooperative housing,2.3594
Wollishofen,2046,private housing,1.8302
Wollishofen,2047,cooperative housing,2.3651
Wollishofen,2047,private housing,1.8334
Wollishofen,2048,cooperative housing,2.3707
Wollishofen,2048,private housing,1.8366
Wollishofen,2049,cooperative housing,2.3764
Wollishofen,2049,private housing,1.8399
Wollishofen,2050,cooperative housing,2.3821
Wollishofen,2050,private housing,1.8431
Leimbach,2021,cooperative housing,2.4767
Leimbach,2021,private housing,2.0257
Leimbach,2022,cooperative housing,2.4792
Leimbach,2022,private housing,2.0271
Leimbach,2023,cooperative housing,2.4817
Leimbach,2023,private housing,2.0284
Leimbach,2024,cooperative housing,2.4842
Leimbach,2024,private housing,2.0298
Leimbach,2025,cooperative housing,2.4868
Leimbach,2025,private housing,2.0311
Leimbach,2026,cooperative housing,2.4893
Leimbach,2026,private housing,2.0324
Leimbach,2027,cooperative housing,2.4918
Leimbach,2027,private housing,2.0338
Leimbach,2028,cooperative housing,2.4943
Leimbach,2028,private housing,2.0351
Leimbach,2029,cooperative housing,2.4968
Leimbach,2029,private housing,2.0365
Leimbach,2030,cooperative housing,2.4993
Leimbach,2030,private housing,2.0378
Leimbach,2031,cooperative housing,2.5019
Leimbach,2031,private housing,2.0392
Leimbach,2032,cooperative housing,2.5044
Leimbach,2032,private housing,2.0405
Leimbach,2033,cooperative housing,2.5069
Leimbach,2033,private housing,2.0419
Leimbach,2034,cooperative housing,2.5094
Leimbach,2034,private housing,2.0432
Leimbach,2035,cooperative housing,2.5119
Leimbach,2035,private housing,2.0446
Leimbach,2036,cooperative housing,2.5145
Leimbach,2036,private housing,2.0459
Leimbach,2037,cooperative housing,2.517
Leimbach,2037,private housing,2.0472
Leimbach,2038,cooperative housing,2.5195
Leimbach,2038,private housing,2.0486
Leimbach,2039,cooperative housing,2.522
Leimbach,2039,private housing,2.0499
Leimbach,2040,cooperative housing,2.5245
Leimbach,2040,private housing,2.0513
Leimbach,2041,cooperative housing,2.5271
Leimbach,2041,private housing,2.0526
Leimbach,2042,cooperative housing,2.5296
Leimbach,2042,private housing,2.054
Leimbach,2043,cooperative housing,2.5321
Leimbach,2043,private housing,2.0553
Leimbach,2044,cooperative housing,2.5346
Leimbach,2044,private housing,2.0567
Leimbach,2045,cooperative housing,2.5371
Leimbach,2045,private housing,2.058
Leimbach,2046,cooperative housing,2.5397
Leimbach,2046,private housing,2.0593
Leimbach,2047,cooperative housing,2.5422
Leimbach,2047,private housing,2.0607
Leimbach,2048,cooperative housing,2.5447
Leimbach,2048,private housing,2.062
Leimbach,2049,cooperative housing,2.5472
Leimbach,2049,private housing,2.0634
Leimbach,2050,cooperative housing,2.5497
Leimbach,2050,private housing,2.0647
Enge,2021,cooperative housing,2.2078
Enge,2021,private housing,1.7402
Enge,2022,cooperative housing,2.2094
Enge,2022,private housing,1.7431
Enge,2023,cooperative housing,2.2111
Enge,2023,private housing,1.746
Enge,2024,cooperative housing,2.2128
Enge,2024,private housing,1.7488
Enge,2025,cooperative housing,2.2145
Enge,2025,private housing,1.7517
Enge,2026,cooperative housing,2.2162
Enge,2026,private housing,1.7545
Enge,2027,cooperative housing,2.2179
Enge,2027,private housing,1.7574
Enge,2028,cooperative housing,2.2196
Enge,2028,private housing,1.7602
Enge,2029,cooperative housing,2.2212
Enge,2029,private housing,1.7631
Enge,2030,cooperative housing,2.2229
Enge,2030,private housing,1.766
Enge,2031,cooperative housing,2.2246
Enge,2031,private housing,1.7688
Enge,2032,cooperative housing,2.2263
Enge,2032,private housing,1.7717
Enge,2033,cooperative housing,2.228
Enge,2033,private housing,1.7745
Enge,2034,cooperative housing,2.2297
Enge,2034,private housing,1.7774
Enge,2035,cooperative housing,2.2314
Enge,2035,private housing,1.7802
Enge,2036,cooperative housing,2.233
Enge,2036,private housing,1.7831
Enge,2037,cooperative housing,2.2347
Enge,2037,private housing,1.786
Enge,2038,cooperative housing,2.2364
Enge,2038,private housing,1.7888
Enge,2039,cooperative housing,2.2381
Enge,2039,private housing,1.7917
Enge,2040,cooperative housing,2.2398
Enge,2040,private housing,1.7945
Enge,2041,cooperative housing,2.2415
Enge,2041,private housing,1.7974
Enge,2042,cooperative housing,2.2431
Enge,2042,private housing,1.8002
Enge,2043,cooperative housing,2.2448
Enge,2043,private housing,1.8031
Enge,2044,cooperative housing,2.2465
Enge,2044,private housing,1.806
Enge,2045,cooperative housing,2.2482
Enge,2045,private housing,1.8088
Enge,2046,cooperative housing,2.2499
Enge,2046,private housing,1.8117
Enge,2047,cooperative housing,2.2516
Enge,2047,private housing,1.8145
Enge,2048,cooperative housing,2.2533
Enge,2048,private housing,1.8174
Enge,2049,cooperative housing,2.2549
Enge,2049,private housing,1.8203
Enge,2050,cooperative housing,2.2566
Enge,2050,private housing,1.8231
Alt-Wiedikon,2021,cooperative housing,1.9293
Alt-Wiedikon,2021,private housing,1.725
Alt-Wiedikon,2022,cooperative housing,1.9311
Alt-Wiedikon,2022,private housing,1.7262
Alt-Wiedikon,2023,cooperative housing,1.9328
Alt-Wiedikon,2023,private housing,1.7274
Alt-Wiedikon,2024,cooperative housing,1.9345
Alt-Wiedikon,2024,private housing,1.7285
Alt-Wiedikon,2025,cooperative housing,1.9363
Alt-Wiedikon,2025,private housing,1.7297
Alt-Wiedikon,2026,cooperative housing,1.938
Alt-Wiedikon,2026,private housing,1.7309
Alt-Wiedikon,2027,cooperative housing,1.9397
Alt-Wiedikon,2027,private housing,1.7321
Alt-Wiedikon,2028,cooperative housing,1.9415
Alt-Wiedikon,2028,private housing,1.7333
Alt-Wiedikon,2029,cooperative housing,1.9432
Alt-Wiedikon,2029,private housing,1.7345
Alt-Wiedikon,2030,cooperative housing,1.945
Alt-Wiedikon,2030,private housing,1.7357
Alt-Wiedikon,2031,cooperative housing,1.9467
Alt-Wiedikon,2031,private housing,1.7369
Alt-Wiedikon,2032,cooperative housing,1.9484
Alt-Wiedikon,2032,private housing,1.7381
Alt-Wiedikon,2033,cooperative housing,1.9502
Alt-Wiedikon,2033,private housing,1.7392
Alt-Wiedikon,2034,cooperative housing,1.9519
Alt-Wiedikon,2034,private housing,1.7404
Alt-Wiedikon,2035,cooperative housing,1.9536
Alt-Wiedikon,2035,private housing,1.7416
Alt-Wiedikon,2036,cooperative housing,1.9554
Alt-Wiedikon,2036,private housing,1.7428
Alt-Wiedikon,2037,cooperative housing,1.9571
Alt-Wiedikon,2037,private housing,1.744
Alt-Wiedikon,2038,cooperative housing,1.9588
Alt-Wiedikon,2038,private housing,1.7452
Alt-Wiedikon,2039,cooperative housing,1.9606
Alt-Wiedikon,2039,private housing,1.7464
Alt-Wiedikon,2040,cooperative housing,1.9623
Alt-Wiedikon,2040,private housing,1.7476
Alt-Wiedikon,2041,cooperative housing,1.9641
Alt-Wiedikon,2041,private housing,1.7487
Alt-Wiedikon,2042,cooperative housing,1.9658
Alt-Wiedikon,2042,private housing,1.7499
Alt-Wiedikon,2043,cooperative housing,1.9675
Alt-Wiedikon,2043,private housing,1.7511
Alt-Wiedikon,2044,cooperative housing,1.9693
Alt-Wiedikon,2044,private housing,1.7523
Alt-Wiedikon,2045,cooperative housing,1.971
Alt-Wiedikon,2045,private housing,1.7535
Alt-Wiedikon,2046,cooperative housing,1.9727
Alt-Wiedikon,2046,private housing,1.7547
Alt-Wiedikon,2047,cooperative housing,1.9745
Alt-Wiedikon,2047,private housing,1.7559
Alt-Wiedikon,2048,cooperative housing,1.9762
Alt-Wiedikon,2048,private housing,1.7571
Alt-Wiedikon,2049,cooperative housing,1.9779
Alt-Wiedikon,2049,private housing,1.7583
Alt-Wiedikon,2050,cooperative housing,1.9797
Alt-Wiedikon,2050,private housing,1.7594
Friesenberg,2021,cooperative housing,2.6895
Friesenberg,2021,private housing,1.8482
Friesenberg,2022,cooperative housing,2.6895
Friesenberg,2022,private housing,1.8482
Friesenberg,2023,cooperative housing,2.6896
Friesenberg,2023,private housing,1.8483
Friesenberg,2024,cooperative housing,2.6896
Friesenberg,2024,private housing,1.8484
Friesenberg,2025,cooperative housing,2.6897
Friesenberg,2025,private housing,1.8484
Friesenberg,2026,cooperative housing,2.6898
Friesenberg,2026,private housing,1.8485
Friesenberg,2027,cooperative housing,2.6898
Friesenberg,2027,private housing,1.8485
Friesenberg,2028,cooperative housing,2.6899
Friesenberg,2028,private housing,1.8486
Friesenberg,2029,cooperative housing,2.6899
Friesenberg,2029,private housing,1.8486
Friesenberg,2030,cooperative housing,2.69
Friesenberg,2030,private housing,1.8487
Friesenberg,2031,cooperative housing,2.6901
Friesenberg,2031,private housing,1.8487
Friesenberg,2032,cooperative housing,2.6901
Friesenberg,2032,private housing,1.8488
Friesenberg,2033,cooperative housing,2.6902
Friesenberg,2033,private housing,1.8488
Friesenberg,2034,cooperative housing,2.6902
Friesenberg,2034,private housing,1.8489
Friesenberg,2035,cooperative housing,2.6903
Friesenberg,2035,private housing,1.849
Friesenberg,2036,cooperative housing,2.6904
Friesenberg,2036,private housing,1.849
Friesenberg,2037,cooperative housing,2.6904
Friesenberg,2037,private housing,1.8491
Friesenberg,2038,cooperative housing,2.6905
Friesenberg,2038,private housing,1.8491
Friesenberg,2039,cooperative housing,2.6905
Friesenberg,2039,private housing,1.8492
Friesenberg,2040,cooperative housing,2.6906
Friesenberg,2040,private housing,1.8492
Friesenberg,2041,cooperative housing,2.6906
Friesenberg,2041,private housing,1.8493
Friesenberg,2042,cooperative housing,2.6907
Friesenberg,2042,private housing,1.8493
Friesenberg,2043,cooperative housing,2.6908
Friesenberg,2043,private housing,1.8494
Friesenberg,2044,cooperative housing,2.6908
Friesenberg,2044,private housing,1.8494
Friesenberg,2045,cooperative housing,2.6909
Friesenberg,2045,private housing,1.8495
Friesenberg,2046,cooperative housing,2.6909
Friesenberg,2046,private housing,1.8495
Friesenberg,2047,cooperative housing,2.691
Friesenberg,2047,private housing,1.8496
Friesenberg,2048,cooperative housing,2.6911
Friesenberg,2048,private housing,1.8497
Friesenberg,2049,cooperative housing,2.6911
Friesenberg,2049,private housing,1.8497
Friesenberg,2050,cooperative housing,2.6912
Friesenberg,2050,private housing,1.8498000000000001
Sihlfeld,2021,cooperative housing,1.9931
Sihlfeld,2021,private housing,1.6812
Sihlfeld,2022,cooperative housing,1.9953
Sihlfeld,2022,private housing,1.6814
Sihlfeld,2023,cooperative housing,1.9976
Sihlfeld,2023,private housing,1.6815
Sihlfeld,2024,cooperative housing,1.9998
Sihlfeld,2024,private housing,1.6817
Sihlfeld,2025,cooperative housing,2.0021
Sihlfeld,2025,private housing,1.6818
Sihlfeld,2026,cooperative housing,2.0043
Sihlfeld,2026,private housing,1.682
Sihlfeld,2027,cooperative housing,2.0065
Sihlfeld,2027,private housing,1.6822
Sihlfeld,2028,cooperative housing,2.0088
Sihlfeld,2028,private housing,1.6823
Sihlfeld,2029,cooperative housing,2.011
Sihlfeld,2029,private housing,1.6825
Sihlfeld,2030,cooperative housing,2.0133
Sihlfeld,2030,private housing,1.6826
Sihlfeld,2031,cooperative housing,2.0155
Sihlfeld,2031,private housing,1.6828
Sihlfeld,2032,cooperative housing,2.0177
Sihlfeld,2032,private housing,1.683
Sihlfeld,2033,cooperative housing,2.02
Sihlfeld,2033,private housing,1.6831
Sihlfeld,2034,cooperative housing,2.0222
Sihlfeld,2034,private housing,1.6833
Sihlfeld,2035,cooperative housing,2.0245
Sihlfeld,2035,private housing,1.6834
Sihlfeld,2036,cooperative housing,2.0267
Sihlfeld,2036,private housing,1.6836
Sihlfeld,2037,cooperative housing,2.0289
Sihlfeld,2037,private housing,1.6838
Sihlfeld,2038,cooperative housing,2.0312
Sihlfeld,2038,private housing,1.6839
Sihlfeld,2039,cooperative housing,2.0334
Sihlfeld,2039,private housing,1.6841
Sihlfeld,2040,cooperative housing,2.0357
Sihlfeld,2040,private housing,1.6842
Sihlfeld,2041,cooperative housing,2.0379
Sihlfeld,2041,private housing,1.6844
Sihlfeld,2042,cooperative housing,2.0401
Sihlfeld,2042,private housing,1.6846
Sihlfeld,2043,cooperative housing,2.0424
Sihlfeld,2043,private housing,1.6847
Sihlfeld,2044,cooperative housing,2.0446
Sihlfeld,2044,private housing,1.6849
Sihlfeld,2045,cooperative housing,2.0469
Sihlfeld,2045,private housing,1.685
Sihlfeld,2046,cooperative housing,2.0491
Sihlfeld,2046,private housing,1.6852
Sihlfeld,2047,cooperative housing,2.0513
Sihlfeld,2047,private housing,1.6854
Sihlfeld,2048,cooperative housing,2.0536
Sihlfeld,2048,private housing,1.6855
Sihlfeld,2049,cooperative housing,2.0558
Sihlfeld,2049,private housing,1.6857
Sihlfeld,2050,cooperative housing,2.0581
Sihlfeld,2050,private housing,1.6858
Werd,2021,cooperative housing,2.2078
Werd,2021,private housing,1.795
Werd,2022,cooperative housing,2.2094
Werd,2022,private housing,1.795
Werd,2023,cooperative housing,2.2111
Werd,2023,private housing,1.795
Werd,2024,cooperative housing,2.2128
Werd,2024,private housing,1.7951
Werd,2025,cooperative housing,2.2145
Werd,2025,private housing,1.7951
Werd,2026,cooperative housing,2.2162
Werd,2026,private housing,1.7951
Werd,2027,cooperative housing,2.2179
Werd,2027,private housing,1.7951
Werd,2028,cooperative housing,2.2196
Werd,2028,private housing,1.7951
Werd,2029,cooperative housing,2.2212
Werd,2029,private housing,1.7952
Werd,2030,cooperative housing,2.2229
Werd,2030,private housing,1.7952
Werd,2031,cooperative housing,2.2246
Werd,2031,private housing,1.7952
Werd,2032,cooperative housing,2.2263
Werd,2032,private housing,1.7952
Werd,2033,cooperative housing,2.228
Werd,2033,private housing,1.7952
Werd,2034,cooperative housing,2.2297
Werd,2034,private housing,1.7953
Werd,2035,cooperative housing,2.2314
Werd,2035,private housing,1.7953
Werd,2036,cooperative housing,2.233
Werd,2036,private housing,1.7953
Werd,2037,cooperative housing,2.2347
Werd,2037,private housing,1.7953
Werd,2038,cooperative housing,2.2364
Werd,2038,private housing,1.7953
Werd,2039,cooperative housing,2.2381
Werd,2039,private housing,1.7954
Werd,2040,cooperative housing,2.2398
Werd,2040,private housing,1.7954
Werd,2041,cooperative housing,2.2415
Werd,2041,private housing,1.7954
Werd,2042,cooperative housing,2.2431
Werd,2042,private housing,1.7954
Werd,2043,cooperative housing,2.2448
Werd,2043,private housing,1.7954
Werd,2044,cooperative housing,2.2465
Werd,2044,private housing,1.7954
Werd,2045,cooperative housing,2.2482
Werd,2045,private housing,1.7955
Werd,2046,cooperative housing,2.2499
Werd,2046,private housing,1.7955
Werd,2047,cooperative housing,2.2516
Werd,2047,private housing,1.7955
Werd,2048,cooperative housing,2.2533
Werd,2048,private housing,1.7955
Werd,2049,cooperative housing,2.2549
Werd,2049,private housing,1.7955
Werd,2050,cooperative housing,2.2566
Werd,2050,private housing,1.7956
Langstrasse,2021,cooperative housing,1.9685
Langstrasse,2021,private housing,1.6258
Langstrasse,2022,cooperative housing,1.9676
Langstrasse,2022,private housing,1.624
Langstrasse,2023,cooperative housing,1.9668
Langstrasse,2023,private housing,1.6222
Langstrasse,2024,cooperative housing,1.9659
Langstrasse,2024,private housing,1.6204
Langstrasse,2025,cooperative housing,1.9651
Langstrasse,2025,private housing,1.6185
Langstrasse,2026,cooperative housing,1.9643
Langstrasse,2026,private housing,1.6167
Langstrasse,2027,cooperative housing,1.9634
Langstrasse,2027,private housing,1.6149
Langstrasse,2028,cooperative housing,1.9626
Langstrasse,2028,private housing,1.6131
Langstrasse,2029,cooperative housing,1.9617
Langstrasse,2029,private housing,1.6113
Langstrasse,2030,cooperative housing,1.9609
Langstrasse,2030,private housing,1.6095
Langstrasse,2031,cooperative housing,1.9601
Langstrasse,2031,private housing,1.6077
Langstrasse,2032,cooperative housing,1.9592
Langstrasse,2032,private housing,1.6058
Langstrasse,2033,cooperative housing,1.9584
Langstrasse,2033,private housing,1.604
Langstrasse,2034,cooperative housing,1.9576
Langstrasse,2034,private housing,1.6022
Langstrasse,2035,cooperative housing,1.9567
Langstrasse,2035,private housing,1.6004
Langstrasse,2036,cooperative housing,1.9559
Langstrasse,2036,private housing,1.5986
Langstrasse,2037,cooperative housing,1.955
Langstrasse,2037,private housing,1.5968
Langstrasse,2038,cooperative housing,1.9542
Langstrasse,2038,private housing,1.5949
Langstrasse,2039,cooperative housing,1.9534
Langstrasse,2039,private housing,1.5931
Langstrasse,2040,cooperative housing,1.9525
Langstrasse,2040,private housing,1.5913
Langstrasse,2041,cooperative housing,1.9517
Langstrasse,2041,private housing,1.5895
Langstrasse,2042,cooperative housing,1.9508
Langstrasse,2042,private housing,1.5877
Langstrasse,2043,cooperative housing,1.95
Langstrasse,2043,private housing,1.5859
Langstrasse,2044,cooperative housing,1.9492
Langstrasse,2044,private housing,1.5841
Langstrasse,2045,cooperative housing,1.9483
Langstrasse,2045,private housing,1.5822
Langstrasse,2046,cooperative housing,1.9475
Langstrasse,2046,private housing,1.5804
Langstrasse,2047,cooperative housing,1.9466
Langstrasse,2047,private housing,1.5786
Langstrasse,2048,cooperative housing,1.9458
Langstrasse,2048,private housing,1.5768
Langstrasse,2049,cooperative housing,1.945
Langstrasse,2049,private housing,1.575
Langstrasse,2050,cooperative housing,1.9441
Langstrasse,2050,private housing,1.5732
Hard,2021,cooperative housing,1.9491
Hard,2021,private housing,1.7829
Hard,2022,cooperative housing,1.9505
Hard,2022,private housing,1.7786
Hard,2023,cooperative housing,1.9519
Hard,2023,private housing,1.7743
Hard,2024,cooperative housing,1.9534
Hard,2024,private housing,1.77
Hard,2025,cooperative housing,1.9548
Hard,2025,private housing,1.7657
Hard,2026,cooperative housing,1.9562
Hard,2026,private housing,1.7614
Hard,2027,cooperative housing,1.9576
Hard,2027,private housing,1.7571
Hard,2028,cooperative housing,1.959
Hard,2028,private housing,1.7528
Hard,2029,cooperative housing,1.9604
Hard,2029,private housing,1.7484
Hard,2030,cooperative housing,1.9618
Hard,2030,private housing,1.7441
Hard,2031,cooperative housing,1.9632
Hard,2031,private housing,1.7398
Hard,2032,cooperative housing,1.9646
Hard,2032,private housing,1.7355
Hard,2033,cooperative housing,1.966
Hard,2033,private housing,1.7312
Hard,2034,cooperative housing,1.9674
Hard,2034,private housing,1.7269
Hard,2035,cooperative housing,1.9688
Hard,2035,private housing,1.7226
Hard,2036,cooperative housing,1.9702
Hard,2036,private housing,1.7183
Hard,2037,cooperative housing,1.9716
Hard,2037,private housing,1.714
Hard,2038,cooperative housing,1.973
Hard,2038,private housing,1.7097
Hard,2039,cooperative housing,1.9745
Hard,2039,private housing,1.7054
Hard,2040,cooperative housing,1.9759
Hard,2040,private housing,1.7011
Hard,2041,cooperative housing,1.9773
Hard,2041,private housing,1.6968
Hard,2042,cooperative housing,1.9787
Hard,2042,private housing,1.6924
Hard,2043,cooperative housing,1.9801
Hard,2043,private housing,1.6881
Hard,2044,cooperative housing,1.9815
Hard,2044,private housing,1.6838
Hard,2045,cooperative housing,1.9829
Hard,2045,private housing,1.6795
Hard,2046,cooperative housing,1.9843
Hard,2046,private housing,1.6752
Hard,2047,cooperative housing,1.9857
Hard,2047,private housing,1.6709
Hard,2048,cooperative housing,1.9871
Hard,2048,private housing,1.6666
Hard,2049,cooperative housing,1.9885
Hard,2049,private housing,1.6623000000000001
Hard,2050,cooperative housing,1.9899
Hard,2050,private housing,1.658
Gewerbeschule,2021,cooperative housing,2.0674
Gewerbeschule,2021,private housing,1.7251
Gewerbeschule,2022,cooperative housing,2.0657
Gewerbeschule,2022,private housing,1.7231
Gewerbeschule,2023,cooperative housing,2.0639
Gewerbeschule,2023,private housing,1.7212
Gewerbeschule,2024,cooperative housing,2.0622
Gewerbeschule,2024,private housing,1.7193
Gewerbeschule,2025,cooperative housing,2.0604
Gewerbeschule,2025,private housing,1.7173
Gewerbeschule,2026,cooperative housing,2.0587
Gewerbeschule,2026,private housing,1.7154
Gewerbeschule,2027,cooperative housing,2.0569
Gewerbeschule,2027,private housing,1.7134
Gewerbeschule,2028,cooperative housing,2.0552
Gewerbeschule,2028,private housing,1.7115
Gewerbeschule,2029,cooperative housing,2.0534
Gewerbeschule,2029,private housing,1.7095
Gewerbeschule,2030,cooperative housing,2.0517
Gewerbeschule,2030,private housing,1.7076
Gewerbeschule,2031,cooperative housing,2.0499
Gewerbeschule,2031,private housing,1.7057
Gewerbeschule,2032,cooperative housing,2.0482
Gewerbeschule,2032,private housing,1.7037
Gewerbeschule,2033,cooperative housing,2.0464
Gewerbeschule,2033,private housing,1.7018
Gewerbeschule,2034,cooperative housing,2.0447
Gewerbeschule,2034,private housing,1.6998
Gewerbeschule,2035,cooperative housing,2.0429
Gewerbeschule,2035,private housing,1.6979
Gewerbeschule,2036,cooperative housing,2.0412
