district,year,owner,aca_dyw
Weinegg,2045,cooperative housing,2.2482
Weinegg,2045,private housing,1.9081
Weinegg,2046,cooperative housing,2.2499
Weinegg,2046,private housing,1.9103
Weinegg,2047,cooperative housing,2.2516
Weinegg,2047,private housing,1.9124
Weinegg,2048,cooperative housing,2.2533
Weinegg,2048,private housing,1.9146
Weinegg,2049,cooperative housing,2.2549
Weinegg,2049,private housing,1.9167
Weinegg,2050,cooperative housing,2.2566
Weinegg,2050,private housing,1.9189
Albisrieden,2021,cooperative housing,2.0388
Albisrieden,2021,private housing,1.7974
Albisrieden,2022,cooperative housing,2.0407
Albisrieden,2022,private housing,1.7996
Albisrieden,2023,cooperative housing,2.0426
Albisrieden,2023,private housing,1.8018
Albisrieden,2024,cooperative housing,2.0445
Albisrieden,2024,private housing,1.804
Albisrieden,2025,cooperative housing,2.0464
Albisrieden,2025,private housing,1.8062
Albisrieden,2026,cooperative housing,2.0483
Albisrieden,2026,private housing,1.8084
Albisrieden,2027,cooperative housing,2.0502
Albisrieden,2027,private housing,1.8106
Albisrieden,2028,cooperative housing,2.0521
Albisrieden,2028,private housing,1.8128
Albisrieden,2029,cooperative housing,2.054
Albisrieden,2029,private housing,1.815
Albisrieden,2030,cooperative housing,2.0559
Albisrieden,2030,private housing,1.8172
Albisrieden,2031,cooperative housing,2.0578
Albisrieden,2031,private housing,1.8194
Albisrieden,2032,cooperative housing,2.0596
Albisrieden,2032,private housing,1.8216
Albisrieden,2033,cooperative housing,2.0615
Albisrieden,2033,private housing,1.8238
Albisrieden,2034,cooperative housing,2.0634
Albisrieden,2034,private housing,1.826
Albisrieden,2035,cooperative housing,2.0653
Albisrieden,2035,private housing,1.8282
Albisrieden,2036,cooperative housing,2.0672
Albisrieden,2036,private housing,1.8304
Albisrieden,2037,cooperative housing,2.0691
Albisrieden,2037,private housing,1.8326
Albisrieden,2038,cooperative housing,2.071
Albisrieden,2038,private housing,1.8348
Albisrieden,2039,cooperative housing,2.0729
Albisrieden,2039,private housing,1.837
Albisrieden,2040,cooperative housing,2.0748
Albisrieden,2040,private housing,1.8392
Albisrieden,2041,cooperative housing,2.0767
Albisrieden,2041,private housing,1.8414
Albisrieden,2042,cooperative housing,2.0786
Albisrieden,2042,private housing,1.8436
Albisrieden,2043,cooperative housing,2.0805
Albisrieden,2043,private housing,1.8458
Albisrieden,2044,cooperative housing,2.0824
Albisrieden,2044,private housing,1.848
Albisrieden,2045,cooperative housing,2.0843
Albisrieden,2045,private housing,1.8503
Albisrieden,2046,cooperative housing,2.0862
Albisrieden,2046,private housing,1.8525
Albisrieden,2047,cooperative housing,2.088
Albisrieden,2047,private housing,1.8547
Albisrieden,2048,cooperative housing,2.0899
Albisrieden,2048,private housing,1.8569
Albisrieden,2049,cooperative housing,2.0918
Albisrieden,2049,private housing,1.8591
Albisrieden,2050,cooperative housing,2.0937
Albisrieden,2050,private housing,1.8613
Altstetten,2021,cooperative housing,2.1995
Altstetten,2021,private housing,1.8014
Altstetten,2022,cooperative housing,2.2023
Altstetten,2022,private housing,1.7993
Altstetten,2023,cooperative housing,2.2052
Altstetten,2023,private housing,1.7971
Altstetten,2024,cooperative housing,2.208
Altstetten,2024,private housing,1.7949
Altstetten,2025,cooperative housing,2.2108
Altstetten,2025,private housing,1.7927
Altstetten,2026,cooperative housing,2.2137
Altstetten,2026,private housing,1.7906
Altstetten,2027,cooperative housing,2.2165
Altstetten,2027,private housing,1.7884
Altstetten,2028,cooperative housing,2.2193
Altstetten,2028,private housing,1.7862
Altstetten,2029,cooperative housing,2.2222
Altstetten,2029,private housing,1.7841
Altstetten,2030,cooperative housing,2.225
Altstetten,2030,private housing,1.7819
Altstetten,2031,cooperative housing,2.2278
Altstetten,2031,private housing,1.7797
Altstetten,2032,cooperative housing,2.2307
Altstetten,2032,private housing,1.7775
Altstetten,2033,cooperative housing,2.2335
Altstetten,2033,private housing,1.7754
Altstetten,2034,cooperative housing,2.2363
Altstetten,2034,private housing,1.7732
Altstetten,2035,cooperative housing,2.2392
Altstetten,2035,private housing,1.771
Altstetten,2036,cooperative housing,2.242
Altstetten,2036,private housing,1.7688
Altstetten,2037,cooperative housing,2.2449
Altstetten,2037,private housing,1.7667
Altstetten,2038,cooperative housing,2.2477
Altstetten,2038,private housing,1.7645
Altstetten,2039,cooperative housing,2.2505
Altstetten,2039,private housing,1.7623
Altstetten,2040,cooperative housing,2.2534
Altstetten,2040,private housing,1.7602
Altstetten,2041,cooperative housing,2.2562
Altstetten,2041,private housing,1.758
Altstetten,2042,cooperative housing,2.259
Altstetten,2042,private housing,1.7558
Altstetten,2043,cooperative housing,2.2619
Altstetten,2043,private housing,1.7536
Altstetten,2044,cooperative housing,2.2647
Altstetten,2044,private housing,1.7515
Altstetten,2045,cooperative housing,2.2675
Altstetten,2045,private housing,1.7493
Altstetten,2046,cooperative housing,2.2704
Altstetten,2046,private housing,1.7471
Altstetten,2047,cooperative housing,2.2732
Altstetten,2047,private housing,1.745
Altstetten,2048,cooperative housing,2.276
Altstetten,2048,private housing,1.7428
Altstetten,2049,cooperative housing,2.2789
Altstetten,2049,private housing,1.7406
Altstetten,2050,cooperative housing,2.2817
Altstetten,2050,private housing,1.7384
Hoengg,2021,cooperative housing,2.274
Hoengg,2021,private housing,1.8626
Hoengg,2022,cooperative housing,2.2784
Hoengg,2022,private housing,1.8659
Hoengg,2023,cooperative housing,2.2827
Hoengg,2023,private housing,1.8693
Hoengg,2024,cooperative housing,2.2871
Hoengg,2024,private housing,1.8726
Hoengg,2025,cooperative housing,2.2914
Hoengg,2025,private housing,1.8759
Hoengg,2026,cooperative housing,2.2958
Hoengg,2026,private housing,1.8792
Hoengg,2027,cooperative housing,2.3001
Hoengg,2027,private housing,1.8826
Hoengg,2028,cooperative housing,2.3045
Hoengg,2028,private housing,1.8859
Hoengg,2029,cooperative housing,2.3088
Hoengg,2029,private housing,1.8892
Hoengg,2030,cooperative housing,2.3132
Hoengg,2030,private housing,1.8925
Hoengg,2031,cooperative housing,2.3175
Hoengg,2031,private housing,1.8959
Hoengg,2032,cooperative housing,2.3219
Hoengg,2032,private housing,1.8992
Hoengg,2033,cooperative housing,2.3262
Hoengg,2033,private housing,1.9025
Hoengg,2034,cooperative housing,2.3306
Hoengg,2034,private housing,1.9059
Hoengg,2035,cooperative housing,2.3349
Hoengg,2035,private housing,1.9092
Hoengg,2036,cooperative housing,2.3393
Hoengg,2036,private housing,1.9125
Hoengg,2037,cooperative housing,2.3436
Hoengg,2037,private housing,1.9158
Hoengg,2038,cooperative housing,2.348
Hoengg,2038,private housing,1.9192
Hoengg,2039,cooperative housing,2.3523
Hoengg,2039,private housing,1.9225
Hoengg,2040,cooperative housing,2.3567
Hoengg,2040,private housing,1.9258
Hoengg,2041,cooperative housing,2.361
Hoengg,2041,private housing,1.9291
Hoengg,2042,cooperative housing,2.3654
Hoengg,2042,private housing,1.9325
Hoengg,2043,cooperative housing,2.3697
Hoengg,2043,private housing,1.9358
Hoengg,2044,cooperative housing,2.3741
Hoengg,2044,private housing,1.9391
Hoengg,2045,cooperative housing,2.3784
Hoengg,2045,private housing,1.9424
Hoengg,2046,cooperative housing,2.3828
Hoengg,2046,private housing,1.9458
Hoengg,2047,cooperative housing,2.3871000000000002
Hoengg,2047,private housing,1.9491
Hoengg,2048,cooperative housing,2.3915
Hoengg,2048,private housing,1.9524
Hoengg,2049,cooperative housing,2.3958
Hoengg,2049,private housing,1.9558
Hoengg,2050,cooperative housing,2.4002
Hoengg,2050,private housing,1.9591
Wipkingen,2021,cooperative housing,1.9589
Wipkingen,2021,private housing,1.7314
Wipkingen,2022,cooperative housing,1.9558
Wipkingen,2022,private housing,1.7332
Wipkingen,2023,cooperative housing,1.9528
Wipkingen,2023,private housing,1.7349
Wipkingen,2024,cooperative housing,1.9497
Wipkingen,2024,private housing,1.7367
Wipkingen,2025,cooperative housing,1.9467
Wipkingen,2025,private housing,1.7384
Wipkingen,2026,cooperative housing,1.9437
Wipkingen,2026,private housing,1.7402
Wipkingen,2027,cooperative housing,1.9406
Wipkingen,2027,private housing,1.7419
Wipkingen,2028,cooperative housing,1.9376
Wipkingen,2028,private housing,1.7436
Wipkingen,2029,cooperative housing,1.9345
Wipkingen,2029,private housing,1.7454
Wipkingen,2030,cooperative housing,1.9315
Wipkingen,2030,private housing,1.7471
Wipkingen,2031,cooperative housing,1.9284
Wipkingen,2031,private housing,1.7489
Wipkingen,2032,cooperative housing,1.9254
Wipkingen,2032,private housing,1.7506
Wipkingen,2033,cooperative housing,1.9223
Wipkingen,2033,private housing,1.7524
Wipkingen,2034,cooperative housing,1.9193
Wipkingen,2034,private housing,1.7541
Wipkingen,2035,cooperative housing,1.9163
Wipkingen,2035,private housing,1.7558
Wipkingen,2036,cooperative housing,1.9132
Wipkingen,2036,private housing,1.7576
Wipkingen,2037,cooperative housing,1.9102
Wipkingen,2037,private housing,1.7593
Wipkingen,2038,cooperative housing,1.9071
Wipkingen,2038,private housing,1.7611
Wipkingen,2039,cooperative housing,1.9041
Wipkingen,2039,private housing,1.7628
Wipkingen,2040,cooperative housing,1.901
Wipkingen,2040,private housing,1.7646
Wipkingen,2041,cooperative housing,1.898
Wipkingen,2041,private housing,1.7663
Wipkingen,2042,cooperative housing,1.8949
Wipkingen,2042,private housing,1.7681
Wipkingen,2043,cooperative housing,1.8919
Wipkingen,2043,private housing,1.7698
Wipkingen,2044,cooperative housing,1.8888
Wipkingen,2044,private housing,1.7715
Wipkingen,2045,cooperative housing,1.8858
Wipkingen,2045,private housing,1.7733
Wipkingen,2046,cooperative housing,1.8828
Wipkingen,2046,private housing,1.775
Wipkingen,2047,cooperative housing,1.8797
Wipkingen,2047,private housing,1.7768
Wipkingen,2048,cooperative housing,1.8767
Wipkingen,2048,private housing,1.7785
Wipkingen,2049,cooperative housing,1.8736
Wipkingen,2049,private housing,1.7803
Wipkingen,2050,cooperative housing,1.8706
Wipkingen,2050,private housing,1.782
Affoltern,2021,cooperative housing,2.338
Affoltern,2021,private housing,2.107
Affoltern,2022,cooperative housing,2.3373
Affoltern,2022,private housing,2.1095
Affoltern,2023,cooperative housing,2.3366
Affoltern,2023,private housing,2.1121
Affoltern,2024,cooperative housing,2.3358
Affoltern,2024,private housing,2.1146
Affoltern,2025,cooperative housing,2.3351
Affoltern,2025,private housing,2.1171
Affoltern,2026,cooperative housing,2.3344
Affoltern,2026,private housing,2.1197
Affoltern,2027,cooperative housing,2.3337
Affoltern,2027,private housing,2.1222
Affoltern,2028,cooperative housing,2.3329
Affoltern,2028,private housing,2.1247
Affoltern,2029,cooperative housing,2.3322
Affoltern,2029,private housing,2.1273
Affoltern,2030,cooperative housing,2.3315
Affoltern,2030,private housing,2.1298
Affoltern,2031,cooperative housing,2.3308
Affoltern,2031,private housing,2.1324
Affoltern,2032,cooperative housing,2.33
Affoltern,2032,private housing,2.1349
Affoltern,2033,cooperative housing,2.3293
Affoltern,2033,private housing,2.1374
Affoltern,2034,cooperative housing,2.3286
Affoltern,2034,private housing,2.14
Affoltern,2035,cooperative housing,2.3279
Affoltern,2035,private housing,2.1425
Affoltern,2036,cooperative housing,2.3271
Affoltern,2036,private housing,2.1451
Affoltern,2037,cooperative housing,2.3264
Affoltern,2037,private housing,2.1476
Affoltern,2038,cooperative housing,2.3257
Affoltern,2038,private housing,2.1501
Affoltern,2039,cooperative housing,2.325
Affoltern,2039,private housing,2.1527
Affoltern,2040,cooperative housing,2.3242
Affoltern,2040,private housing,2.1552
Affoltern,2041,cooperative housing,2.3235
Affoltern,2041,private housing,2.1577
Affoltern,2042,cooperative housing,2.3228
Affoltern,2042,private housing,2.1603
Affoltern,2043,cooperative housing,2.3221
Affoltern,2043,private housing,2.1628
Affoltern,2044,cooperative housing,2.3213
Affoltern,2044,private housing,2.1654
Affoltern,2045,cooperative housing,2.3206
Affoltern,2045,private housing,2.1679
Affoltern,2046,cooperative housing,2.3199
Affoltern,2046,private housing,2.1704
Affoltern,2047,cooperative housing,2.3192
Affoltern,2047,private housing,2.173
Affoltern,2048,cooperative housing,2.3184
Affoltern,2048,private housing,2.1755
Affoltern,2049,cooperative housing,2.3177
Affoltern,2049,private housing,2.178
Affoltern,2050,cooperative housing,2.317
Affoltern,2050,private housing,2.1806
Oerlikon,2021,cooperative housing,2.1734
Oerlikon,2021,private housing,1.8345
Oerlikon,2022,cooperative housing,2.1752
Oerlikon,2022,private housing,1.8354
Oerlikon,2023,cooperative housing,2.177
Oerlikon,2023,private housing,1.8364
Oerlikon,2024,cooperative housing,2.1788
Oerlikon,2024,private housing,1.8373
Oerlikon,2025,cooperative housing,2.1806
Oerlikon,2025,private housing,1.8383
Oerlikon,2026,cooperative housing,2.1824
Oerlikon,2026,private housing,1.8392
Oerlikon,2027,cooperative housing,2.1842
Oerlikon,2027,private housing,1.8402
Oerlikon,2028,cooperative housing,2.186
Oerlikon,2028,private housing,1.8411
Oerlikon,2029,cooperative housing,2.1878
Oerlikon,2029,private housing,1.8421
Oerlikon,2030,cooperative housing,2.1896
Oerlikon,2030,private housing,1.843
Oerlikon,2031,cooperative housing,2.1914
Oerlikon,2031,private housing,1.844
Oerlikon,2032,cooperative housing,2.1932
Oerlikon,2032,private housing,1.8449
Oerlikon,2033,cooperative housing,2.195
Oerlikon,2033,private housing,1.8459
Oerlikon,2034,cooperative housing,2.1968
Oerlikon,2034,private housing,1.8469
Oerlikon,2035,cooperative housing,2.1986
Oerlikon,2035,private housing,1.8478
Oerlikon,2036,cooperative housing,2.2004
Oerlikon,2036,private housing,1.8488
Oerlikon,2037,cooperative housing,2.2022
Oerlikon,2037,private housing,1.8497
Oerlikon,2038,cooperative housing,2.204
Oerlikon,2038,private housing,1.8507
Oerlikon,2039,cooperative housing,2.2058
Oerlikon,2039,private housing,1.8516
Oerlikon,2040,cooperative housing,2.2076
Oerlikon,2040,private housing,1.8526
Oerlikon,2041,cooperative housing,2.2094
Oerlikon,2041,private housing,1.8535
Oerlikon,2042,cooperative housing,2.2112
Oerlikon,2042,private housing,1.8545
Oerlikon,2043,cooperative housing,2.213
Oerlikon,2043,private housing,1.8554
Oerlikon,2044,cooperative housing,2.2148
Oerlikon,2044,private housing,1.8564
Oerlikon,2045,cooperative housing,2.2166
Oerlikon,2045,private housing,1.8573
Oerlikon,2046,cooperative housing,2.2184
Oerlikon,2046,private housing,1.8583
Oerlikon,2047,cooperative housing,2.2202
Oerlikon,2047,private housing,1.8592
Oerlikon,2048,cooperative housing,2.222
Oerlikon,2048,private housing,1.8602
Oerlikon,2049,cooperative housing,2.2238
Oerlikon,2049,private housing,1.8611
Oerlikon,2050,cooperative housing,2.2256
Oerlikon,2050,private housing,1.8621
Seebach,2021,cooperative housing,2.3406
Seebach,2021,private housing,1.9014
Seebach,2022,cooperative housing,2.3382
Seebach,2022,private housing,1.9022
Seebach,2023,cooperative housing,2.3358
Seebach,2023,private housing,1.9029
Seebach,2024,cooperative housing,2.3334
Seebach,2024,private housing,1.9036
Seebach,2025,cooperative housing,2.331
Seebach,2025,private housing,1.9044
Seebach,2026,cooperative housing,2.3286
Seebach,2026,private housing,1.9051
Seebach,2027,cooperative housing,2.3262
Seebach,2027,private housing,1.9059
Seebach,2028,cooperative housing,2.3238
Seebach,2028,private housing,1.9066
Seebach,2029,cooperative housing,2.3213
Seebach,2029,private housing,1.9073
Seebach,2030,cooperative housing,2.3189
Seebach,2030,private housing,1.9081
Seebach,2031,cooperative housing,2.3165
Seebach,2031,private housing,1.9088
Seebach,2032,cooperative housing,2.3141
Seebach,2032,private housing,1.9096
Seebach,2033,cooperative housing,2.3117
Seebach,2033,private housing,1.9103
Seebach,2034,cooperative housing,2.3093
Seebach,2034,private housing,1.9111
Seebach,2035,cooperative housing,2.3069
Seebach,2035,private housing,1.9118
Seebach,2036,cooperative housing,2.3045
Seebach,2036,private housing,1.9125
Seebach,2037,cooperative housing,2.302
Seebach,2037,private housing,1.9133
Seebach,2038,cooperative housing,2.2996
Seebach,2038,private housing,1.914
Seebach,2039,cooperative housing,2.2972
Seebach,2039,private housing,1.9148
Seebach,2040,cooperative housing,2.2948
Seebach,2040,private housing,1.9155
Seebach,2041,cooperative housing,2.2924
Seebach,2041,private housing,1.9163
Seebach,2042,cooperative housing,2.29
Seebach,2042,private housing,1.917
Seebach,2043,cooperative housing,2.2876
Seebach,2043,private housing,1.9177
Seebach,2044,cooperative housing,2.2852
Seebach,2044,private housing,1.9185
Seebach,2045,cooperative housing,2.2827
Seebach,2045,private housing,1.9192
Seebach,2046,cooperative housing,2.2803
Seebach,2046,private housing,1.92
Seebach,2047,cooperative housing,2.2779
Seebach,2047,private housing,1.9207
Seebach,2048,cooperative housing,2.2755
Seebach,2048,private housing,1.9215
Seebach,2049,cooperative housing,2.2731
Seebach,2049,private housing,1.9222
Seebach,2050,cooperative housing,2.2707
Seebach,2050,private housing,1.9229
Saatlen,2021,cooperative housing,2.6493
Saatlen,2021,private housing,1.9713
Saatlen,2022,cooperative housing,2.6522
Saatlen,2022,private housing,1.9685
Saatlen,2023,cooperative housing,2.6551
Saatlen,2023,private housing,1.9656
Saatlen,2024,cooperative housing,2.658
Saatlen,2024,private housing,1.9628
Saatlen,2025,cooperative housing,2.6609
Saatlen,2025,private housing,1.96
Saatlen,2026,cooperative housing,2.6638
Saatlen,2026,private housing,1.9572
Saatlen,2027,cooperative housing,2.6667
Saatlen,2027,private housing,1.9543
Saatlen,2028,cooperative housing,2.6696
Saatlen,2028,private housing,1.9515
Saatlen,2029,cooperative housing,2.6726
Saatlen,2029,private housing,1.9487
Saatlen,2030,cooperative housing,2.6755
Saatlen,2030,private housing,1.9459
Saatlen,2031,cooperative housing,2.6784
Saatlen,2031,private housing,1.943
Saatlen,2032,cooperative housing,2.6813
Saatlen,2032,private housing,1.9402
Saatlen,2033,cooperative housing,2.6842
Saatlen,2033,private housing,1.9374
Saatlen,2034,cooperative housing,2.6871
Saatlen,2034,private housing,1.9346
Saatlen,2035,cooperative housing,2.69
Saatlen,2035,private housing,1.9317
Saatlen,2036,cooperative housing,2.6929
Saatlen,2036,private housing,1.9289
Saatlen,2037,cooperative housing,2.6958
Saatlen,2037,private housing,1.9261
Saatlen,2038,cooperative housing,2.6987
Saatlen,2038,private housing,1.9233
Saatlen,2039,cooperative housing,2.7016
Saatlen,2039,private housing,1.9204
Saatlen,2040,cooperative housing,2.7046
Saatlen,2040,private housing,1.9176
Saatlen,2041,cooperative housing,2.7075
Saatlen,2041,private housing,1.9148
Saatlen,2042,cooperative housing,2.7104
Saatlen,2042,private housing,1.912
Saatlen,2043,cooperative housing,2.7133
Saatlen,2043,private housing,1.9091
Saatlen,2044,cooperative housing,2.7162
Saatlen,2044,private housing,1.9063
Saatlen,2045,cooperative housing,2.7191
Saatlen,2045,private housing,1.9035
Saatlen,2046,cooperative housing,2.722
Saatlen,2046,private housing,1.9007
Saatlen,2047,cooperative housing,2.7249
Saatlen,2047,private housing,1.8978
Saatlen,2048,cooperative housing,2.7278
Saatlen,2048,private housing,1.895
Saatlen,2049,cooperative housing,2.7307
Saatlen,2049,private housing,1.8922
Saatlen,2050,cooperative housing,2.7337
Saatlen,2050,private housing,1.8894
Schwamendingen-Mitte,2021,cooperative housing,1.9902
Schwamendingen-Mitte,2021,private housing,1.8312
Schwamendingen-Mitte,2022,cooperative housing,1.9884
Schwamendingen-Mitte,2022,private housing,1.831
Schwamendingen-Mitte,2023,cooperative housing,1.9866
Schwamendingen-Mitte,2023,private housing,1.8307
Schwamendingen-Mitte,2024,cooperative housing,1.9847
Schwamendingen-Mitte,2024,private housing,1.8304
Schwamendingen-Mitte,2025,cooperative housing,1.9829
Schwamendingen-Mitte,2025,private housing,1.8301
Schwamendingen-Mitte,2026,cooperative housing,1.9811
Schwamendingen-Mitte,2026,private housing,1.8299
Schwamendingen-Mitte,2027,cooperative housing,1.9793
Schwamendingen-Mitte,2027,private housing,1.8296
Schwamendingen-Mitte,2028,cooperative housing,1.9774
Schwamendingen-Mitte,2028,private housing,1.8293
Schwamendingen-Mitte,2029,cooperative housing,1.9756
Schwamendingen-Mitte,2029,private housing,1.829
Schwamendingen-Mitte,2030,cooperative housing,1.9738
Schwamendingen-Mitte,2030,private housing,1.8287
Schwamendingen-Mitte,2031,cooperative housing,1.972
Schwamendingen-Mitte,2031,private housing,1.8285
Schwamendingen-Mitte,2032,cooperative housing,1.9701
Schwamendingen-Mitte,2032,private housing,1.8282
Schwamendingen-Mitte,2033,cooperative housing,1.9683
Schwamendingen-Mitte,2033,private housing,1.8279
Schwamendingen-Mitte,2034,cooperative housing,1.9665
Schwamendingen-Mitte,2034,private housing,1.8276
Schwamendingen-Mitte,2035,cooperative housing,1.9647
Schwamendingen-Mitte,2035,private housing,1.8274
Schwamendingen-Mitte,2036,cooperative housing,1.9628
Schwamendingen-Mitte,2036,private housing,1.8271
Schwamendingen-Mitte,2037,cooperative housing,1.961
Schwamendingen-Mitte,2037,private housing,1.8268
Schwamendingen-Mitte,2038,cooperative housing,1.9592
Schwamendingen-Mitte,2038,private housing,1.8265
Schwamendingen-Mitte,2039,cooperative housing,1.9574
Schwamendingen-Mitte,2039,private housing,1.8262
Schwamendingen-Mitte,2040,cooperative housing,1.9555
Schwamendingen-Mitte,2040,private housing,1.826
Schwamendingen-Mitte,2041,cooperative housing,1.9537
Schwamendingen-Mitte,2041,private housing,1.8257
Schwamendingen-Mitte,2042,cooperative housing,1.9519
Schwamendingen-Mitte,2042,private housing,1.8254
Schwamendingen-Mitte,2043,cooperative housing,1.9501
Schwamendingen-Mitte,2043,private housing,1.8251
Schwamendingen-Mitte,2044,cooperative housing,1.9482
Schwamendingen-Mitte,2044,private housing,1.8248
Schwamendingen-Mitte,2045,cooperative housing,1.9464
Schwamendingen-Mitte,2045,private housing,1.8246
Schwamendingen-Mitte,2046,cooperative housing,1.9446
Schwamendingen-Mitte,2046,private housing,1.8243
Schwamendingen-Mitte,2047,cooperative housing,1.9428
Schwamendingen-Mitte,2047,private housing,1.824
Schwamendingen-Mitte,2048,cooperative housing,1.941
Schwamendingen-Mitte,2048,private housing,1.8237
Schwamendingen-Mitte,2049,cooperative housing,1.9391
Schwamendingen-Mitte,2049,private housing,1.8235
Schwamendingen-Mitte,2050,cooperative housing,1.9373
Schwamendingen-Mitte,2050,private housing,1.8232
Hirzenbach,2021,cooperative housing,2.1481
Hirzenbach,2021,private housing,2.0601
Hirzenbach,2022,cooperative housing,2.15
Hirzenbach,2022,private housing,2.0594
Hirzenbach,2023,cooperative housing,2.152
Hirzenbach,2023,private housing,2.0587
Hirzenbach,2024,cooperative housing,2.1539
Hirzenbach,2024,private housing,2.058
Hirzenbach,2025,cooperative housing,2.1559
Hirzenbach,2025,private housing,2.0572
Hirzenbach,2026,cooperative housing,2.1578
Hirzenbach,2026,private housing,2.0565
Hirzenbach,2027,cooperative housing,2.1598
Hirzenbach,2027,private housing,2.0558
Hirzenbach,2028,cooperative housing,2.1617
Hirzenbach,2028,private housing,2.0551
Hirzenbach,2029,cooperative housing,2.1637
Hirzenbach,2029,private housing,2.0543
Hirzenbach,2030,cooperative housing,2.1656
Hirzenbach,2030,private housing,2.0536
Hirzenbach,2031,cooperative housing,2.1676
Hirzenbach,2031,private housing,2.0529
Hirzenbach,2032,cooperative housing,2.1695
Hirzenbach,2032,private housing,2.0522
Hirzenbach,2033,cooperative housing,2.1715
Hirzenbach,2033,private housing,2.0514
Hirzenbach,2034,cooperative housing,2.1734
Hirzenbach,2034,private housing,2.0507
Hirzenbach,2035,cooperative housing,2.1754
Hirzenbach,2035,private housing,2.05
Hirzenbach,2036,cooperative housing,2.1773
Hirzenbach,2036,private housing,2.0493
Hirzenbach,2037,cooperative housing,2.1793
Hirzenbach,2037,private housing,2.0485
Hirzenbach,2038,cooperative housing,2.1812
Hirzenbach,2038,private housing,2.0478
Hirzenbach,2039,cooperative housing,2.1832
Hirzenbach,2039,private housing,2.0471
Hirzenbach,2040,cooperative housing,2.1851
Hirzenbach,2040,private housing,2.0464
Hirzenbach,2041,cooperative housing,2.187
Hirzenbach,2041,private housing,2.0456
Hirzenbach,2042,cooperative housing,2.189
Hirzenbach,2042,private housing,2.0449
Hirzenbach,2043,cooperative housing,2.1909
Hirzenbach,2043,private housing,2.0442
Hirzenbach,2044,cooperative housing,2.1929
Hirzenbach,2044,private housing,2.0435
Hirzenbach,2045,cooperative housing,2.1948
Hirzenbach,2045,private housing,2.0427
Hirzenbach,2046,cooperative housing,2.1968
Hirzenbach,2046,private housing,2.042
Hirzenbach,2047,cooperative housing,2.1987
Hirzenbach,2047,private housing,2.0413
Hirzenbach,2048,cooperative housing,2.2007
Hirzenbach,2048,private housing,2.0406
Hirzenbach,2049,cooperative housing,2.2026
Hirzenbach,2049,private housing,2.0398
Hirzenbach,2050,cooperative housing,2.2046
Hirzenbach,2050,private housing,2.0391
