district,year,owner,indicator,apartments
Albisrieden,2024,cooperative housing,removed,1.8482040882777755
Albisrieden,2024,private housing,new,88.39832524700044
Albisrieden,2024,private housing,removed,4.315135656578753
Albisrieden,2025,cooperative housing,new,0.7296173882952427
Albisrieden,2025,cooperative housing,removed,0.03062968643123844
Albisrieden,2025,private housing,new,137.52468842849194
Albisrieden,2025,private housing,removed,15.429531454944204
Albisrieden,2026,cooperative housing,new,0.01579181551036479
Albisrieden,2026,cooperative housing,removed,0
Albisrieden,2026,private housing,new,5.570809943422289
Albisrieden,2026,private housing,removed,0.6263107142643891
Albisrieden,2027,cooperative housing,new,81.05839353285177
Albisrieden,2027,cooperative housing,removed,119.15583849329211
Albisrieden,2027,private housing,new,0.22474504537029988
Albisrieden,2027,private housing,removed,0.02550298387180708
Albisrieden,2028,cooperative housing,new,8.126820809632079
Albisrieden,2028,cooperative housing,removed,11.946426590159158
Albisrieden,2028,private housing,new,0
Albisrieden,2028,private housing,removed,0
Albisrieden,2029,cooperative housing,new,193.5627171580344
Albisrieden,2029,cooperative housing,removed,77.60852204711135
Albisrieden,2029,private housing,new,0
Albisrieden,2029,private housing,removed,0
Albisrieden,2030,cooperative housing,new,47.53105471405359
Albisrieden,2030,cooperative housing,removed,18.842668118785532
Albisrieden,2030,private housing,new,0
Albisrieden,2030,private housing,removed,0
Albisrieden,2031,cooperative housing,new,11.721013785428262
Albisrieden,2031,cooperative housing,removed,4.646544750651919
Albisrieden,2031,private housing,new,0
Albisrieden,2031,private housing,removed,0
Albisrieden,2032,cooperative housing,new,0
Albisrieden,2032,cooperative housing,removed,0
Albisrieden,2032,private housing,new,0
Albisrieden,2032,private housing,removed,0
Albisrieden,2033,cooperative housing,new,0
Albisrieden,2033,cooperative housing,removed,0
Albisrieden,2033,private housing,new,0
Albisrieden,2033,private housing,removed,0
Altstetten,2021,cooperative housing,new,171.83438773369602
Altstetten,2021,cooperative housing,removed,0
Altstetten,2021,private housing,new,371.4801214589729
Altstetten,2021,private housing,removed,0
Altstetten,2022,cooperative housing,new,1.1578109971700774
Altstetten,2022,cooperative housing,removed,0
Altstetten,2022,private housing,new,262.72414567639584
Altstetten,2022,private housing,removed,8.904905668293233
Altstetten,2023,cooperative housing,new,0.007801269133891163
Altstetten,2023,cooperative housing,removed,0
Altstetten,2023,private housing,new,381.3879184189754
Altstetten,2023,private housing,removed,93.52012104642253
Altstetten,2024,cooperative housing,new,153.8961037631012
Altstetten,2024,cooperative housing,removed,83.7662336938399
Altstetten,2024,private housing,new,161.17395450578582
Altstetten,2024,private housing,removed,19.0817810123794
Altstetten,2025,cooperative housing,new,520.6804045041799
Altstetten,2025,cooperative housing,removed,192.11912710768505
Altstetten,2025,private housing,new,100.25137655439569
Altstetten,2025,private housing,removed,20.43484599370183
Altstetten,2026,cooperative housing,new,214.98256676686063
Altstetten,2026,cooperative housing,removed,117.34810064147204
Altstetten,2026,private housing,new,4.0227709489771675
Altstetten,2026,private housing,removed,0.825192400169668
Altstetten,2027,cooperative housing,new,13.248836859661576
Altstetten,2027,cooperative housing,removed,7.318836583935323
Altstetten,2027,private housing,new,0.15971243649719186
Altstetten,2027,private housing,removed,0.0331538790333492
Altstetten,2028,cooperative housing,new,0.7920881061966715
Altstetten,2028,cooperative housing,removed,0.4477019730676839
Altstetten,2028,private housing,new,0
Altstetten,2028,private housing,removed,0
Altstetten,2029,cooperative housing,new,0
Altstetten,2029,cooperative housing,removed,0
Altstetten,2029,private housing,new,0
Altstetten,2029,private housing,removed,0
Altstetten,2030,cooperative housing,new,234.3277617998034
Altstetten,2030,cooperative housing,removed,113.06314506840513
Altstetten,2030,private housing,new,0
Altstetten,2030,private housing,removed,0
Altstetten,2031,cooperative housing,new,90.62415842226471
Altstetten,2031,cooperative housing,removed,43.72615643874272
Altstetten,2031,private housing,new,0
Altstetten,2031,private housing,removed,0
Altstetten,2032,cooperative housing,new,35.04807977793191
Altstetten,2032,cooperative housing,removed,16.910698492852145
Altstetten,2032,private housing,new,0
Altstetten,2032,private housing,removed,0
Altstetten,2033,cooperative housing,new,0
Altstetten,2033,cooperative housing,removed,0
Altstetten,2033,private housing,new,0
Altstetten,2033,private housing,removed,0
Hoengg,2021,cooperative housing,new,0
Hoengg,2021,cooperative housing,removed,0
Hoengg,2021,private housing,new,116.2116957505343
Hoengg,2021,private housing,removed,0
Hoengg,2022,cooperative housing,new,0
Hoengg,2022,cooperative housing,removed,0
Hoengg,2022,private housing,new,33.43434903038289
Hoengg,2022,private housing,removed,2.9683018894310784
Hoengg,2023,cooperative housing,new,106.21063450027714
Hoengg,2023,cooperative housing,removed,71.69217828768707
Hoengg,2023,private housing,new,34.77042221544642
Hoengg,2023,private housing,removed,0.03136665273859563
Hoengg,2024,cooperative housing,new,1.7601943697883575
Hoengg,2024,cooperative housing,removed,1.1881311996071415
Hoengg,2024,private housing,new,2.522131343081517
Hoengg,2024,private housing,removed,3.3145783032608665e-4
Hoengg,2025,cooperative housing,new,261.63103606880924
Hoengg,2025,cooperative housing,removed,0.01969051270579614
Hoengg,2025,private housing,new,147.98457256105726
Hoengg,2025,private housing,removed,23.79070865597394
Hoengg,2026,cooperative housing,new,10.66346857976015
Hoengg,2026,cooperative housing,removed,0
Hoengg,2026,private housing,new,6.031044092433033
Hoengg,2026,private housing,removed,0.9697617190247587
Hoengg,2027,cooperative housing,new,0.4346664813651119
Hoengg,2027,cooperative housing,removed,0
Hoengg,2027,private housing,new,0.24578500706454076
Hoengg,2027,private housing,removed,0.03952962500130098
Hoengg,2028,cooperative housing,new,0
Hoengg,2028,cooperative housing,removed,0
Hoengg,2028,private housing,new,0
Hoengg,2028,private housing,removed,0
Hoengg,2029,cooperative housing,new,220.28335028630653
Hoengg,2029,cooperative housing,removed,114.96037343066622
Hoengg,2029,private housing,new,0
Hoengg,2029,private housing,removed,0
Hoengg,2030,cooperative housing,new,54.32120538748982
Hoengg,2030,cooperative housing,removed,28.348879061596254
Hoengg,2030,private housing,new,0
Hoengg,2030,private housing,removed,0
Hoengg,2031,cooperative housing,new,13.39544432620373
Hoengg,2031,cooperative housing,removed,6.990747507737572
Hoengg,2031,private housing,new,0
Hoengg,2031,private housing,removed,0
Hoengg,2032,cooperative housing,new,0
Hoengg,2032,cooperative housing,removed,0
Hoengg,2032,private housing,new,0
Hoengg,2032,private housing,removed,0
Hoengg,2033,cooperative housing,new,0
Hoengg,2033,cooperative housing,removed,0
Hoengg,2033,private housing,new,0
Hoengg,2033,private housing,removed,0
Wipkingen,2021,cooperative housing,new,0
Wipkingen,2021,cooperative housing,removed,0
Wipkingen,2021,private housing,new,22.84503420736999
Wipkingen,2021,private housing,removed,0
Wipkingen,2022,cooperative housing,new,0
Wipkingen,2022,cooperative housing,removed,0
Wipkingen,2022,private housing,new,52.59392867629728
Wipkingen,2022,private housing,removed,11.873207557724314
Wipkingen,2023,cooperative housing,new,0
Wipkingen,2023,cooperative housing,removed,0
Wipkingen,2023,private housing,new,30.058135389185047
Wipkingen,2023,private housing,removed,7.992921018382318
Wipkingen,2024,cooperative housing,new,105.19480510389195
Wipkingen,2024,cooperative housing,removed,0
Wipkingen,2024,private housing,new,44.325967428787514
Wipkingen,2024,private housing,removed,39.092749526821166
Wipkingen,2025,cooperative housing,new,19.617860449905802
Wipkingen,2025,cooperative housing,removed,12.27907543534139
Wipkingen,2025,private housing,new,27.815941605410302
Wipkingen,2025,private housing,removed,6.3868977075167805
Wipkingen,2026,cooperative housing,new,0.7592811639432445
Wipkingen,2026,cooperative housing,removed,0.5005221775611658
Wipkingen,2026,private housing,new,1.116681258472591
Wipkingen,2026,private housing,removed,0.24529814520028465
Wipkingen,2027,cooperative housing,new,0.028053282258987792
Wipkingen,2027,cooperative housing,removed,0.020402387097445667
Wipkingen,2027,private housing,new,0.0443114344772648
Wipkingen,2027,private housing,removed,0.008926044355132478
Wipkingen,2028,cooperative housing,new,0
Wipkingen,2028,cooperative housing,removed,0
Wipkingen,2028,private housing,new,0
Wipkingen,2028,private housing,removed,0
Wipkingen,2029,cooperative housing,new,0
Wipkingen,2029,cooperative housing,removed,0
Wipkingen,2029,private housing,new,0
Wipkingen,2029,private housing,removed,0
Wipkingen,2030,cooperative housing,new,0
Wipkingen,2030,cooperative housing,removed,0
Wipkingen,2030,private housing,new,0
Wipkingen,2030,private housing,removed,0
Wipkingen,2031,cooperative housing,new,0
Wipkingen,2031,cooperative housing,removed,0
Wipkingen,2031,private housing,new,0
Wipkingen,2031,private housing,removed,0
Wipkingen,2032,cooperative housing,new,0
Wipkingen,2032,cooperative housing,removed,0
Wipkingen,2032,private housing,new,0
Wipkingen,2032,private housing,removed,0
Wipkingen,2033,cooperative housing,new,0
Wipkingen,2033,cooperative housing,removed,0
Wipkingen,2033,private housing,new,0
Wipkingen,2033,private housing,removed,0
Affoltern,2021,cooperative housing,new,0
Affoltern,2021,cooperative housing,removed,0
Affoltern,2021,private housing,new,58.60247905368824
Affoltern,2021,private housing,removed,0
Affoltern,2022,cooperative housing,new,56.9913962770767
Affoltern,2022,cooperative housing,removed,55.21041514341805
Affoltern,2022,private housing,new,143.86278505371425
Affoltern,2022,private housing,removed,0
Affoltern,2023,cooperative housing,new,188.437713709923
Affoltern,2023,cooperative housing,removed,0.5834197409378787
Affoltern,2023,private housing,new,53.64060088000848
Affoltern,2023,private housing,removed,26.552658625069284
Affoltern,2024,cooperative housing,new,178.44397550265825
Affoltern,2024,cooperative housing,removed,21.045126136422457
Affoltern,2024,private housing,new,20.360339014360413
Affoltern,2024,private housing,removed,16.024464163394047
Affoltern,2025,cooperative housing,new,106.29456934293515
Affoltern,2025,cooperative housing,removed,0.5468263452622777
Affoltern,2025,private housing,new,8.19505829905834
Affoltern,2025,private housing,removed,0.4123493345297598
Affoltern,2026,cooperative housing,new,766.4252301803351
Affoltern,2026,cooperative housing,removed,343.36156836426846
Affoltern,2026,private housing,new,0.32598620723436594
Affoltern,2026,private housing,removed,0.01052787700690986
Affoltern,2027,cooperative housing,new,48.89233373854963
Affoltern,2027,cooperative housing,removed,21.94946210281975
Affoltern,2027,private housing,new,0.01275149193590354
Affoltern,2027,private housing,removed,0
Affoltern,2028,cooperative housing,new,3.1147812485221764
Affoltern,2028,cooperative housing,removed,1.4031821668711082
Affoltern,2028,private housing,new,0
Affoltern,2028,private housing,removed,0
Affoltern,2029,cooperative housing,new,0
Affoltern,2029,cooperative housing,removed,0
Affoltern,2029,private housing,new,0
Affoltern,2029,private housing,removed,0
Affoltern,2030,cooperative housing,new,0
Affoltern,2030,cooperative housing,removed,0
Affoltern,2030,private housing,new,0
Affoltern,2030,private housing,removed,0
Affoltern,2031,cooperative housing,new,0
Affoltern,2031,cooperative housing,removed,0
Affoltern,2031,private housing,new,0
Affoltern,2031,private housing,removed,0
Affoltern,2032,cooperative housing,new,0
Affoltern,2032,cooperative housing,removed,0
Affoltern,2032,private housing,new,0
Affoltern,2032,private housing,removed,0
Affoltern,2033,cooperative housing,new,0
Affoltern,2033,cooperative housing,removed,0
Affoltern,2033,private housing,new,0
Affoltern,2033,private housing,removed,0
Oerlikon,2021,cooperative housing,new,42.71028134421346
Oerlikon,2021,cooperative housing,removed,0
Oerlikon,2021,private housing,new,99.32623568421735
Oerlikon,2021,private housing,removed,0
Oerlikon,2022,cooperative housing,new,0.2877796120133718
Oerlikon,2022,cooperative housing,removed,0
Oerlikon,2022,private housing,new,55.0881228845621
Oerlikon,2022,private housing,removed,0
Oerlikon,2023,cooperative housing,new,0.0019390437731636994
Oerlikon,2023,cooperative housing,removed,0
Oerlikon,2023,private housing,new,23.198496125686535
Oerlikon,2023,private housing,removed,4.91715900464246
Oerlikon,2024,cooperative housing,new,0
Oerlikon,2024,cooperative housing,removed,0
Oerlikon,2024,private housing,new,74.40690689726821
Oerlikon,2024,private housing,removed,6.899672292372089
Oerlikon,2025,cooperative housing,new,388.5176211963486
Oerlikon,2025,cooperative housing,removed,135.5494811729483
Oerlikon,2025,private housing,new,814.2678152617866
Oerlikon,2025,private housing,removed,262.5478699103785
Oerlikon,2026,cooperative housing,new,15.836834524396261
Oerlikon,2026,cooperative housing,removed,5.525295600733807
Oerlikon,2026,private housing,new,33.162677725063695
Oerlikon,2026,private housing,removed,10.699357162048246
Oerlikon,2027,cooperative housing,new,0.6455442792551167
Oerlikon,2027,cooperative housing,removed,0.22522322631789632
Oerlikon,2027,private housing,new,1.3497454214153897
Oerlikon,2027,private housing,removed,0.4359416305587022
Oerlikon,2028,cooperative housing,new,0
Oerlikon,2028,cooperative housing,removed,0
Oerlikon,2028,private housing,new,0
Oerlikon,2028,private housing,removed,0
Oerlikon,2029,cooperative housing,new,0
Oerlikon,2029,cooperative housing,removed,0
Oerlikon,2029,private housing,new,0
Oerlikon,2029,private housing,removed,0
Oerlikon,2030,cooperative housing,new,0
Oerlikon,2030,cooperative housing,removed,0
Oerlikon,2030,private housing,new,0
Oerlikon,2030,private housing,removed,0
Oerlikon,2031,cooperative housing,new,0
Oerlikon,2031,cooperative housing,removed,0
Oerlikon,2031,private housing,new,0
Oerlikon,2031,private housing,removed,0
Oerlikon,2032,cooperative housing,new,0
Oerlikon,2032,cooperative housing,removed,0
Oerlikon,2032,private housing,new,0
Oerlikon,2032,private housing,removed,0
Oerlikon,2033,cooperative housing,new,0
Oerlikon,2033,cooperative housing,removed,0
Oerlikon,2033,private housing,new,0
Oerlikon,2033,private housing,removed,0
Seebach,2021,cooperative housing,new,0
Seebach,2021,cooperative housing,removed,0
Seebach,2021,private housing,new,416.1769275168707
Seebach,2021,private housing,removed,0
Seebach,2022,cooperative housing,new,34.630188710029245
Seebach,2022,cooperative housing,removed,0
Seebach,2022,private housing,new,156.16644236712358
Seebach,2022,private housing,removed,35.619622673172934
Seebach,2023,cooperative housing,new,221.93312903113952
Seebach,2023,cooperative housing,removed,71.00377602703712
Seebach,2023,private housing,new,163.90575194797333
Seebach,2023,private housing,removed,6.276990638434099
Seebach,2024,cooperative housing,new,1204.1628399900592
Seebach,2024,cooperative housing,removed,412.11828061880317
Seebach,2024,private housing,new,386.4725445985345
Seebach,2024,private housing,removed,1.075792043247451
Seebach,2025,cooperative housing,new,687.4259603191391
Seebach,2025,cooperative housing,removed,10.700336397333764
Seebach,2025,private housing,new,101.15284759487699
Seebach,2025,private housing,removed,0.02693665283257838
Seebach,2026,cooperative housing,new,27.557629389113327
Seebach,2026,cooperative housing,removed,0.2776069568259544
Seebach,2026,private housing,new,126.16339913033991
Seebach,2026,private housing,removed,6.579923129318662e-4
Seebach,2027,cooperative housing,new,1.0902525605197528
Seebach,2027,cooperative housing,removed,0
Seebach,2027,private housing,new,7.962726951243839
Seebach,2027,private housing,removed,0
Seebach,2028,cooperative housing,new,0
Seebach,2028,cooperative housing,removed,0
Seebach,2028,private housing,new,0.49935989303703204
Seebach,2028,private housing,removed,0
Seebach,2029,cooperative housing,new,0
Seebach,2029,cooperative housing,removed,0
Seebach,2029,private housing,new,206.51564089341235
Seebach,2029,private housing,removed,0
Seebach,2030,cooperative housing,new,0
Seebach,2030,cooperative housing,removed,0
Seebach,2030,private housing,new,50.92613005077171
Seebach,2030,private housing,removed,0
Seebach,2031,cooperative housing,new,0
Seebach,2031,cooperative housing,removed,0
Seebach,2031,private housing,new,18.635993748483845
Seebach,2031,private housing,removed,0
Seebach,2032,cooperative housing,new,0
Seebach,2032,cooperative housing,removed,0
Seebach,2032,private housing,new,3.6863506286219803
Seebach,2032,private housing,removed,0
Seebach,2033,cooperative housing,new,0
Seebach,2033,cooperative housing,removed,0
Seebach,2033,private housing,new,2.2358846787101707
Seebach,2033,private housing,removed,0
Saatlen,2021,cooperative housing,new,0
Saatlen,2021,cooperative housing,removed,0
Saatlen,2021,private housing,new,0
Saatlen,2021,private housing,removed,0
Saatlen,2022,cooperative housing,new,48.086490608783464
Saatlen,2022,cooperative housing,removed,46.305509475124815
Saatlen,2022,private housing,new,0
Saatlen,2022,private housing,removed,0
Saatlen,2023,cooperative housing,new,0.5081397743652493
Saatlen,2023,cooperative housing,removed,0.4893197827220918
Saatlen,2023,private housing,new,0
Saatlen,2023,private housing,removed,0
Saatlen,2024,cooperative housing,new,837.1806935686582
Saatlen,2024,cooperative housing,removed,272.6350406364064
Saatlen,2024,private housing,new,0
Saatlen,2024,private housing,removed,0
Saatlen,2025,cooperative housing,new,21.759131655228135
Saatlen,2025,cooperative housing,removed,7.085958057357015
Saatlen,2025,private housing,new,0
Saatlen,2025,private housing,removed,0
Saatlen,2026,cooperative housing,new,0.5655443929649391
Saatlen,2026,cooperative housing,removed,0.18417204838962933
Saatlen,2026,private housing,new,0
Saatlen,2026,private housing,removed,0
Saatlen,2027,cooperative housing,new,0
Saatlen,2027,cooperative housing,removed,0
Saatlen,2027,private housing,new,0
Saatlen,2027,private housing,removed,0
Saatlen,2028,cooperative housing,new,228.4339924740162
Saatlen,2028,cooperative housing,removed,0
Saatlen,2028,private housing,new,0
Saatlen,2028,private housing,removed,0
Saatlen,2029,cooperative housing,new,35.9183136663261
Saatlen,2029,cooperative housing,removed,0
Saatlen,2029,private housing,new,0
Saatlen,2029,private housing,removed,0
Saatlen,2030,cooperative housing,new,5.647693859657676
Saatlen,2030,cooperative housing,removed,0
Saatlen,2030,private housing,new,0
Saatlen,2030,private housing,removed,0
Saatlen,2031,cooperative housing,new,0
Saatlen,2031,cooperative housing,removed,0
Saatlen,2031,private housing,new,0
Saatlen,2031,private housing,removed,0
Saatlen,2032,cooperative housing,new,0
Saatlen,2032,cooperative housing,removed,0
Saatlen,2032,private housing,new,0
Saatlen,2032,private housing,removed,0
Saatlen,2033,cooperative housing,new,0
Saatlen,2033,cooperative housing,removed,0
Saatlen,2033,private housing,new,0
Saatlen,2033,private housing,removed,0
Schwamendingen-Mitte,2021,cooperative housing,new,0
Schwamendingen-Mitte,2021,cooperative housing,removed,0
Schwamendingen-Mitte,2021,private housing,new,35.75744484631824
Schwamendingen-Mitte,2021,private housing,removed,0
Schwamendingen-Mitte,2022,cooperative housing,new,0
Schwamendingen-Mitte,2022,cooperative housing,removed,0
Schwamendingen-Mitte,2022,private housing,new,116.8951960228386
Schwamendingen-Mitte,2022,private housing,removed,41.8530566409782
Schwamendingen-Mitte,2023,cooperative housing,new,0
Schwamendingen-Mitte,2023,cooperative housing,removed,0
Schwamendingen-Mitte,2023,private housing,new,12.052082648324728
Schwamendingen-Mitte,2023,private housing,removed,3.3925652063996745
Schwamendingen-Mitte,2024,cooperative housing,new,127.11038950053613
Schwamendingen-Mitte,2024,cooperative housing,removed,88.53896096244242
Schwamendingen-Mitte,2024,private housing,new,202.98451296586123
Schwamendingen-Mitte,2024,private housing,removed,2.0016197898256443
Schwamendingen-Mitte,2025,cooperative housing,new,288.21666471328194
Schwamendingen-Mitte,2025,cooperative housing,removed,88.63847669105621
Schwamendingen-Mitte,2025,private housing,new,17.744705506123328
Schwamendingen-Mitte,2025,private housing,removed,0.05144237817061403
Schwamendingen-Mitte,2026,cooperative housing,new,260.75980469077285
Schwamendingen-Mitte,2026,cooperative housing,removed,144.96293875564126
Schwamendingen-Mitte,2026,private housing,new,0.6453368361379735
Schwamendingen-Mitte,2026,private housing,removed,0.0013159846258637324
Schwamendingen-Mitte,2027,cooperative housing,new,16.395288746383454
Schwamendingen-Mitte,2027,cooperative housing,removed,9.181820189721465
Schwamendingen-Mitte,2027,private housing,new,0.020721174395843252
Schwamendingen-Mitte,2027,private housing,removed,0
Schwamendingen-Mitte,2028,cooperative housing,new,419.8135052180554
Schwamendingen-Mitte,2028,cooperative housing,removed,0.5778034011386347
Schwamendingen-Mitte,2028,private housing,new,0
Schwamendingen-Mitte,2028,private housing,removed,0
Schwamendingen-Mitte,2029,cooperative housing,new,65.85024172159785
Schwamendingen-Mitte,2029,cooperative housing,removed,0
Schwamendingen-Mitte,2029,private housing,new,0
Schwamendingen-Mitte,2029,private housing,removed,0
Schwamendingen-Mitte,2030,cooperative housing,new,10.354105409372405
Schwamendingen-Mitte,2030,cooperative housing,removed,0
Schwamendingen-Mitte,2030,private housing,new,0
Schwamendingen-Mitte,2030,private housing,removed,0
Schwamendingen-Mitte,2031,cooperative housing,new,0
Schwamendingen-Mitte,2031,cooperative housing,removed,0
Schwamendingen-Mitte,2031,private housing,new,0
Schwamendingen-Mitte,2031,private housing,removed,0
Schwamendingen-Mitte,2032,cooperative housing,new,0
Schwamendingen-Mitte,2032,cooperative housing,removed,0
Schwamendingen-Mitte,2032,private housing,new,0
Schwamendingen-Mitte,2032,private housing,removed,0
Schwamendingen-Mitte,2033,cooperative housing,new,0
Schwamendingen-Mitte,2033,cooperative housing,removed,0
Schwamendingen-Mitte,2033,private housing,new,0
Schwamendingen-Mitte,2033,private housing,removed,0
Hirzenbach,2021,cooperative housing,new,0
Hirzenbach,2021,cooperative housing,removed,0
Hirzenbach,2021,private housing,new,0
Hirzenbach,2021,private housing,removed,0
Hirzenbach,2022,cooperative housing,new,0
Hirzenbach,2022,cooperative housing,removed,0
Hirzenbach,2022,private housing,new,28.693584931167088
Hirzenbach,2022,private housing,removed,0
Hirzenbach,2023,cooperative housing,new,271.42717705626376
Hirzenbach,2023,cooperative housing,removed,0
Hirzenbach,2023,private housing,new,177.32093514360162
Hirzenbach,2023,private housing,removed,0
Hirzenbach,2024,cooperative housing,new,4.498274500570248
Hirzenbach,2024,cooperative housing,removed,0
Hirzenbach,2024,private housing,new,353.5862117216469
Hirzenbach,2024,private housing,removed,57.85714280714058
Hirzenbach,2025,cooperative housing,new,117.49320729361801
Hirzenbach,2025,cooperative housing,removed,37.12501713653998
Hirzenbach,2025,private housing,new,395.7614066305054
Hirzenbach,2025,private housing,removed,189.71897560681347
Hirzenbach,2026,cooperative housing,new,4.786243322928648
Hirzenbach,2026,cooperative housing,removed,1.5132975212200872
Hirzenbach,2026,private housing,new,15.995505166807801
Hirzenbach,2026,private housing,removed,7.711151246317896
Hirzenbach,2027,cooperative housing,new,0.1950978266193242
Hirzenbach,2027,cooperative housing,removed,0.061685342239933376
Hirzenbach,2027,private housing,new,0.6423564062711408
Hirzenbach,2027,private housing,removed,0.3127303397280343
Hirzenbach,2028,cooperative housing,new,72.33743095010513
Hirzenbach,2028,cooperative housing,removed,54.824158193763886
Hirzenbach,2028,private housing,new,0
Hirzenbach,2028,private housing,removed,0
Hirzenbach,2029,cooperative housing,new,11.374132661003266
Hirzenbach,2029,cooperative housing,removed,8.620395279918263
Hirzenbach,2029,private housing,new,0
Hirzenbach,2029,private housing,removed,0
Hirzenbach,2030,cooperative housing,new,1.7884363888915973
Hirzenbach,2030,cooperative housing,removed,1.3554465263178421
Hirzenbach,2030,private housing,new,0
Hirzenbach,2030,private housing,removed,0
Hirzenbach,2031,cooperative housing,new,0
Hirzenbach,2031,cooperative housing,removed,0
Hirzenbach,2031,private housing,new,0
Hirzenbach,2031,private housing,removed,0
Hirzenbach,2032,cooperative housing,new,0
Hirzenbach,2032,cooperative housing,removed,0
Hirzenbach,2032,private housing,new,0
Hirzenbach,2032,private housing,removed,0
Hirzenbach,2033,cooperative housing,new,0
Hirzenbach,2033,cooperative housing,removed,0
Hirzenbach,2033,private housing,new,0
Hirzenbach,2033,private housing,removed,0
